,product_id,review_id,noun,adj,rule,polarity_nltk,polarity_textblob
349,Lufthansa,1264045503542464512,bonds,convertible,1,0.0,0.0
350,Lufthansa,1264045503542464512,shares,worth,1,0.2263,0.3
351,Lufthansa,1264045503542464512,an additional 5%,additional,1,0.0,0.0
352,Lufthansa,1264045501038485504,government,federal,1,0.0,0.0
353,Lufthansa,1264045501038485504,stability,economic,1,0.0,0.2
354,Lufthansa,1264045501038485504,merkel,stability,7,0.0,0.0
355,Lufthansa,1264036294788698117,talks,advanced,1,0.25,0.4
356,Lufthansa,1264036294788698117,government,german,1,0.0,0.0
357,Lufthansa,1264036294788698117,fund,economic,1,0.0,0.2
358,Lufthansa,1264033464283738113,system,sophisticated,1,0.5574,0.5
359,Lufthansa,1264033464283738113,exchange,complete,1,0.0,0.1
360,Lufthansa,1264031301541060608,carriers,limited,1,-0.2263,-0.07142857142857142
361,Lufthansa,1264031301541060608,carriers,international,1,0.0,0.0
362,Lufthansa,1264028137656115202,score,ultimate,1,0.0,0.0
363,Lufthansa,1264028137656115202,lufthansa,score,7,0.0,0.0
364,Lufthansa,1264027830117163008,score,ultimate,1,0.0,0.0
365,Lufthansa,1264027830117163008,lufthansa,score,7,0.0,0.0
366,Lufthansa,1264020712089628672,nolz,crazy,1,-0.34,-0.6
367,Lufthansa,1264020712089628672,relations,currently,4,0.0,0.0
368,Lufthansa,1264020558779494403,greyhounds,irish,1,0.0,0.0
369,Lufthansa,1264017720045178880,tickets,past,1,0.0,-0.25
370,Lufthansa,1264017720045178880,this,6,7,0.0,0.0
371,Lufthansa,1264017720045178880,tickets,canc,7,0.0,0.0
